Name	Field1Label	Field1Value	Field2Label	Field2Value
Receiving Report (RR)	Description	Document filled by the Plant Manager when a Lorry Truck delivery arrives from the Refinery Supplier. Records the volume unloaded to the Storage Tank. Any changes in quantity after the RR are reported separately.	Usage	Plant Manager fills RR on truck arrival · Documents volume unloaded · Post-RR changes reported separately · Feeds into inventory records
Purchase Order (PO)	Description	Procurement document forwarded by the Purchaser to the Refinery Supplier to order gas stock. Triggers the inbound delivery process at the plant, which generates the Receiving Report.	Usage	Purchaser forwards PO to Refinery Supplier · Supplier schedules Lorry Truck delivery · Plant Manager receives and logs in RR
RFR-Appsheet	Description	Appsheet for refilling cylinders.	Usage	Checker encodes transaction in RFR-AppSheet. OIC-Accounting verifies RFR-AppSheet vs. Invoice before release
Sales-Appsheet	Description	Encode and Check Sales of Commercial, Bulk, Dealers. This will extract the real-time approval matrix process currently done in ACCPAC. 	Usage	T1 - Summary table for ACCPAC encoding/checking,T2 - Inventory Month-end Report,T3 - Overall Sales Summary,T4 - Basic Sales Summary ,T5 - Sales Entry Form.	
PO-Appsheet	Description	Appsheet for encoding and summarizing Purchase Orders. This will extract the real-time approval matrix process currently done in ACCPAC.	Usage
DPI-Appsheet	Description	Appsheet for encoding and summarizing daily physical inventory (DPI). This will extract the real-time approval matrix process currently done in ACCPAC.	Usage
General Refilling Report (GRR)	Description	xx	Usage		
Sales Performance Report (SPR)	Description	Bi-weekly or monthly sales report printed by IT Head depending on inventory volume. Fields: sales per kg, total sales, net sales, cost of sales (with formula), Gross Profit Margin per kg and total GPM.	Usage	IT Head prints SPR · Shared with management · Informs Pricing Matrix decisions
Incentive Template	Description	Template used for bi-monthly (15th and 30th) payroll incentive computation for Commercial and Retail channels. Populated using LUT forms and cylinder balance data.	Usage	Prepare Incentive template for Commercial and Retail · Use LUT forms to balance cylinder data · Encode in payroll on 15th and 30th
Aged Receivables	Description	Summary report of outstanding client receivables organized by age and duration. Printed monthly as part of the Accounts Receivable subprocess to identify overdue accounts.	Usage	Print summary of Aged Receivables monthly · Review overdue accounts · Escalate for dispute resolution or write-off
LPG Pricing Matrix	Description	Dashboard document for deciding gas prices across all sales avenues. Reviewed 1–3 times per month in a General Meeting. Covers Sales Price, MPL, Total Cost (Acq Cost + Hauling), kg per avenue, and volume discounts for different radii.	Avenues	Commercial to Retail and semi-dealers · MPL volume discounts by radius · End-user SRP vs. competitors
Payroll Summary	Description	Monthly payroll summary document for all staff. Consolidates all incentive computations and salary data. Used as the official payroll record for the period.	Usage	Prepared after Incentive template is finalized · Covers all staff · Released on the 15th and 30th of each month
Budget PNL	Description	Budgeted Profit and Loss report for industrial projects. Sets the expected financial targets against which the Actual PNL is compared during project review.	Usage	Prepared at project start · Compared against Actual PNL during review · Part of Industrial Projects tracking subprocess
Actual PNL	Description	Actual Profit and Loss performance report for industrial projects. Compared against the Budget PNL to measure project financial performance.	Usage	Updated as project progresses · Compared with Budget PNL · Part of Industrial Projects tracking subprocess
